verseId	book	chapter	verse	text
B01_C003_V010	Kejadian	3	10	Dia menjawab, “Aku mendengar suara-Mu di taman dan aku takut karena aku telanjang, jadi aku bersembunyi.”
B01_C003_V011	Kejadian	3	11	Kemudian, TUHAN berkata, “Siapa yang memberitahukanmu kalau kamu telanjang? Apakah kamu makan dari pohon yang kepadamu telah Kuperintahkan jangan kamu memakannya?”
B01_C003_V012	Kejadian	3	12	Manusia itu berkata, “Perempuan yang Engkau berikan untuk bersamaku itu, dialah yang telah memberikannya kepadaku dari pohon itu, maka aku pun memakannya.”
B01_C003_V013	Kejadian	3	13	Lalu, TUHAN Allah berkata kepada perempuan itu, “Apa yang telah kaulakukan?” Perempuan itu menjawab, “Ular itu menipuku, maka aku makan.”
B01_C003_V014	Kejadian	3	14	Kemudian, TUHAN Allah berkata kepada ular itu, “Karena kamu telah melakukan hal ini, terkutuklah kamu di antara segala hewan ternak, dan di antara segala binatang liar di padang. Dengan perutmu, kamu akan berjalan, dan kamu akan makan debu tanah seumur hidupmu.
B01_C003_V015	Kejadian	3	15	Aku akan mengadakan permusuhan antara kamu dengan perempuan ini, dan di antara keturunanmu dan keturunannya. Keturunannya akan meremukkan kepalamu, dan kamu akan meremukkan tumitnya.”
B01_C003_V016	Kejadian	3	16	Kepada perempuan itu, Allah berfirman, “Aku akan sangat melipatgandakan susah payahmu ketika mengandung; dalam kesakitan kamu akan melahirkan anak-anak; tetapi kamu tetap akan berahi kepada suamimu, dan dia akan berkuasa atasmu.”
B01_C003_V017	Kejadian	3	17	Lalu, kepada manusia itu, Dia berfirman, “Karena kamu mendengarkan suara istrimu, dan telah makan dari pohon yang kepadamu telah Kuperintahkan, ‘Jangan kamu memakannya,’ terkutuklah tanah karena kamu! Dengan susah payah kamu akan makan dari hasilnya selama hari-hari hidupmu.
B01_C003_V018	Kejadian	3	18	Semak duri dan rumput liarlah yang akan ditumbuhkan bagimu, dan kamu akan memakan tumbuh-tumbuhan di padang.
B01_C003_V019	Kejadian	3	19	Dengan keringat di wajahmu, kamu akan makan roti, sampai kamu kembali kepada tanah yang darinya kamu diambil. Sebab, kamu adalah debu, dan kamu akan kembali kepada debu.
B01_C003_V020	Kejadian	3	20	Manusia itu menyebut istrinya Hawa karena dia adalah ibu dari semua yang hidup.
B01_C003_V021	Kejadian	3	21	TUHAN Allah membuat pakaian dari kulit untuk manusia dan istrinya itu, lalu mengenakannya kepada mereka.
B01_C003_V022	Kejadian	3	22	Setelah itu, TUHAN Allah berfirman, “Lihatlah, manusia itu menjadi seperti salah satu dari Kita, tahu tentang yang baik dan yang jahat. Sekarang, jangan sampai dia mengulurkan tangannya dan mengambil juga dari pohon kehidupan, lalu memakannya dan hidup selama-lamanya.”
B01_C003_V023	Kejadian	3	23	Karena itu, TUHAN Allah menyuruhnya keluar dari taman Eden untuk mengolah tanah yang dari itu dia diambil.
B01_C003_V024	Kejadian	3	24	Setelah Allah menghalau manusia itu keluar, di sebelah timur taman Eden ditempatkan-Nyalah kerub-kerub dengan pedang api yang menyambar-nyambar untuk menjaga jalan menuju pohon kehidupan.
B01_C004_V001	Kejadian	4	1	Adam bersetubuh dengan Hawa, istrinya, lalu Hawa mengandung dan melahirkan Kain. Dia berkata, “Aku telah mendapatkan seorang laki-laki dari TUHAN!”
B01_C004_V002	Kejadian	4	2	Kemudian, Hawa melahirkan adiknya, yaitu Habel. Habel menggembalakan domba, sedangkan Kain menggarap tanah.
B01_C004_V003	Kejadian	4	3	Pada suatu waktu, Kain membawa kepada TUHAN suatu persembahan hasil dari tanah itu,
B01_C004_V004	Kejadian	4	4	Habel juga membawa yang sulung dari kawanan dombanya beserta lemak-lemaknya. TUHAN memperhatikan Habel dan persembahannya,
B01_C004_V005	Kejadian	4	5	tetapi terhadap Kain dan persembahannya, Dia tidak memperhatikannya. Lalu, Kain menjadi sangat marah dan wajahnya muram.
B01_C004_V006	Kejadian	4	6	TUHAN berkata kepada Kain, “Mengapa kamu marah? Mengapa mukamu muram?
B01_C004_V007	Kejadian	4	7	Jika kamu berbuat baik, bukankah kamu akan diterima? Namun, jika kamu tidak berbuat baik, dosa sudah mengintip di pintu, keinginannya adalah untukmu, tetapi kamu harus berkuasa atasnya.”
B01_C004_V008	Kejadian	4	8	Kain berbicara dengan Habel, saudaranya. Lalu, terjadilah, ketika mereka berada di padang, Kain bangkit untuk menyerang Habel, saudaranya itu, dan membunuhnya.
B01_C004_V009	Kejadian	4	9	Lalu, TUHAN bertanya kepada Kain, “Di mana Habel, adikmu?” Kain menjawab, “Aku tidak tahu. Apakah aku penjaga adikku?”
B01_C004_V010	Kejadian	4	10	TUHAN berkata, “Apa yang sudah kamu lakukan? Suara darah adikmu itu menjerit kepada-Ku dari dalam tanah.
B01_C004_V011	Kejadian	4	11	Sekarang, kamu terkutuk dari tanah yang telah membuka mulutnya untuk menerima darah adikmu dari tanganmu.
B01_C004_V012	Kejadian	4	12	Jika kamu menggarap tanah itu, ia tidak akan lagi memberikan hasilnya untukmu. Kamu akan mengembara dan menggelandang di bumi.”
B01_C004_V013	Kejadian	4	13	Kemudian, Kain berkata kepada TUHAN, “Hukumanku itu lebih berat daripada yang sanggup kutanggung.
B01_C004_V014	Kejadian	4	14	Lihat! Hari ini Engkau telah menggiring aku dari tanah ini. Lalu, aku akan tersembunyi dari hadapan-Mu, dan aku akan menjadi buronan dan pengembara di bumi, dan akan terjadi, siapa saja yang bertemu denganku akan membunuhku.”
B01_C004_V015	Kejadian	4	15	Namun, TUHAN berkata kepada Kain, “Karena itu, siapa pun yang membunuh Kain, kepadanya akan dibalaskan tujuh kali lipat.” Kemudian, TUHAN memberi tanda pada Kain supaya tidak seorang pun yang bertemu dengannya akan membunuhnya.
B01_C004_V016	Kejadian	4	16	Lalu, Kain pergi dari hadapan TUHAN dan menetap di tanah Nod, sebelah timur Eden.
B01_C004_V017	Kejadian	4	17	Kain bersetubuh dengan istrinya, lalu istrinya itu mengandung dan melahirkan Henokh. Kain membangun suatu kota dan menyebut nama kota itu seperti nama anaknya, Henokh.
B01_C004_V018	Kejadian	4	18	Bagi Henokh, lahirlah Irad, dan Irad adalah ayah Mehuyael. Mehuyael adalah ayah Metusael, dan Metusael adalah ayah Lamekh.
B01_C004_V019	Kejadian	4	19	Lamekh mengambil dua istri baginya, yang satu bernama Ada dan yang lain bernama Zila.
B01_C004_V020	Kejadian	4	20	Ada melahirkan Yabal yang adalah nenek moyang semua yang tinggal dalam tenda dan beternak.
B01_C004_V021	Kejadian	4	21	Saudaranya bernama Yubal, dia adalah nenek moyang semua yang memainkan kecapi dan seruling.
B01_C004_V022	Kejadian	4	22	Zila juga melahirkan Tubal-Kain, dia yang menempa segala perkakas dari perunggu dan besi. Saudara perempuan Tubal-Kain adalah Naama.
B01_C004_V023	Kejadian	4	23	Lamekh berkata kepada kedua istrinya, “Ada dan Zila, dengarlah suaraku! Hai istri-istri Lamekh, dengarkanlah perkataanku! Aku telah membunuh seorang laki-laki karena lukaku, dan seorang laki-laki muda karena melukaiku.
B01_C004_V024	Kejadian	4	24	Jika kepada Kain dibalaskan tujuh kali lipat, kepada Lamekh dibalaskan 77 kali lipat!”
B01_C004_V025	Kejadian	4	25	Adam bersetubuh lagi dengan istrinya, dan istrinya itu melahirkan anak laki-laki lainnya, dan menyebut namanya Set, sebab katanya, “Allah menentukan benih yang lain bagiku sebagai ganti Habel karena Kain telah membunuhnya.”
B01_C004_V026	Kejadian	4	26	Seorang anak laki-laki juga lahir bagi Set, dan dia menyebut namanya Enos. Pada masa itulah manusia mulai memanggil nama TUHAN.
B01_C005_V001	Kejadian	5	1	Inilah catatan keturunan Adam. Pada hari Allah menciptakan manusia, Dia membuatnya dalam keserupaan dengan Allah.
B01_C005_V002	Kejadian	5	2	Dia menciptakan mereka, laki-laki dan perempuan, dan Dia memberkati mereka, dan menamai mereka manusia, pada hari mereka diciptakan.
B01_C005_V003	Kejadian	5	3	Ketika Adam hidup selama 130 tahun dan seorang anak laki-laki lahir baginya dalam keserupaan dengannya, menurut rupanya. Lalu, dia menamainya Set.
B01_C005_V004	Kejadian	5	4	Adam hidup 800 tahun lagi, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya.
B01_C005_V005	Kejadian	5	5	Jadi, seluruh masa hidup Adam adalah 930 tahun, kemudian dia mati.
B01_C005_V006	Kejadian	5	6	Ketika Set hidup selama 105 tahun, Enos lahir baginya.
B01_C005_V007	Kejadian	5	7	Set hidup 807 tahun lagi setelah Enos lahir, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya.
B01_C005_V008	Kejadian	5	8	Jadi, seluruh masa hidup Set adalah 912 tahun, kemudian dia mati.
B01_C005_V009	Kejadian	5	9	Ketika Enos hidup selama 90 tahun, Kenan lahir baginya.
B01_C005_V010	Kejadian	5	10	Enos hidup 815 tahun lagi setelah Kenan lahir, dan dia mendapatkan anak laki-laki dan anak perempuan. Masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya.
B01_C005_V011	Kejadian	5	11	Jadi, masa hidup Enos adalah 905 tahun, kemudian dia mati.
B01_C005_V012	Kejadian	5	12	Ketika Kenan hidup selama 70 tahun, Mahalaleel lahir baginya.
B01_C005_V013	Kejadian	5	13	Kenan hidup 840 tahun lagi setelah Mahalaleel lahir, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya.
B01_C005_V014	Kejadian	5	14	Jadi, masa hidup Kenan adalah 910 tahun, kemudian dia mati.
B01_C005_V015	Kejadian	5	15	Ketika Mahalaleel hidup selama 65 tahun, Yared lahir baginya.
B01_C005_V016	Kejadian	5	16	Mahalaleel hidup 830 tahun lagi setelah Yared lahir, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya.
B01_C005_V017	Kejadian	5	17	Jadi, masa hidup Mahalaleel adalah 895 tahun, kemudian dia mati.
B01_C005_V018	Kejadian	5	18	Ketika Yared hidup selama 162 tahun, Henokh lahir baginya.
B01_C005_V019	Kejadian	5	19	Yared hidup 800 tahun lagi setelah Henokh lahir, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya.
B01_C005_V020	Kejadian	5	20	Jadi, masa hidup Yared adalah 962 tahun, kemudian dia mati.
B01_C005_V021	Kejadian	5	21	Ketika Henokh hidup selama 65 tahun, Metusalah lahir baginya.
B01_C005_V022	Kejadian	5	22	Henokh berjalan dengan Allah selama 300 tahun setelah Metusalah lahir, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya.
B01_C005_V023	Kejadian	5	23	Jadi, masa hidup Henokh adalah 365 tahun.
B01_C005_V024	Kejadian	5	24	Henokh berjalan dengan Allah, setelah itu dia tidak ada lagi, sebab Allah mengambilnya.
B01_C005_V025	Kejadian	5	25	Ketika Metusalah hidup selama 187 tahun, Lamekh lahir baginya.
B01_C005_V026	Kejadian	5	26	Metusalah hidup 782 tahun lagi setelah Lamekh lahir, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya.
B01_C005_V027	Kejadian	5	27	Jadi, masa hidup Metusalah adalah 969 tahun, kemudian dia mati.
B01_C005_V028	Kejadian	5	28	Setelah Lamekh hidup selama 182 tahun, seorang anak laki-laki lahir baginya.
B01_C005_V029	Kejadian	5	29	Dia menamai anak itu Nuh dan berkata, “Dia ini akan menghibur kita dalam kerja keras dan jerih payah tangan kita akibat tanah yang telah TUHAN kutuk ini.”
B01_C005_V030	Kejadian	5	30	Lamekh hidup 595 tahun lagi setelah Nuh lahir, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya.
B01_C005_V031	Kejadian	5	31	Jadi, masa hidup Lamekh adalah 777 tahun, kemudian dia mati.
B01_C005_V032	Kejadian	5	32	Ketika Nuh hidup selama 500 tahun, Sem, Ham, dan Yafet lahir baginya.
B01_C006_V001	Kejadian	6	1	Ketika manusia mulai berlipat ganda di muka bumi dan anak-anak perempuan dilahirkan bagi mereka,
B01_C006_V002	Kejadian	6	2	anak-anak Allah melihat bahwa anak-anak perempuan manusia itu cantik, lalu mereka mengambil istri-istri yang mereka pilih untuk diri mereka sendiri.
B01_C006_V003	Kejadian	6	3	Kemudian, TUHAN berfirman, “Roh-Ku tidak akan selama-lamanya beperkara dengan manusia karena dia adalah daging, hari-harinya akan menjadi 120 tahun.”
B01_C006_V004	Kejadian	6	4	Ada raksasa-raksasa di bumi pada zaman itu, bahkan sesudahnya, ketika anak-anak Allah datang kepada anak-anak perempuan manusia dan melahirkan anak-anak bagi mereka. Inilah orang-orang yang perkasa sejak dahulu kala, orang-orang yang terkenal.
B01_C006_V005	Kejadian	6	5	TUHAN melihat bahwa kejahatan manusia demikian besar di bumi, dan setiap maksud pikiran dari hatinya semata-mata jahat sepanjang waktu.
B01_C006_V006	Kejadian	6	6	TUHAN menyesal bahwa Dia telah menjadikan manusia di bumi, dan hal itu mendukakan hati-Nya.
B01_C006_V007	Kejadian	6	7	Karena itu, TUHAN berfirman, “Aku akan memusnahkan manusia yang telah Kuciptakan dari muka bumi; baik manusia dan binatang, yang merayap dan burung-burung di udara, sebab Aku menyesal telah menjadikan mereka.”
B01_C006_V008	Kejadian	6	8	Namun, Nuh mendapat perkenanan di mata TUHAN.
B01_C006_V009	Kejadian	6	9	Inilah keturunan Nuh. Nuh adalah orang yang benar, tidak bercela pada zamannya, dan Nuh berjalan dengan Allah.
B01_C006_V010	Kejadian	6	10	Tiga anak laki-laki lahir bagi Nuh, yaitu Sem, Ham, dan Yafet.
B01_C006_V011	Kejadian	6	11	Pada saat itu, bumi sudah rusak di hadapan Allah dan bumi dipenuhi dengan kekerasan.
B01_C006_V012	Kejadian	6	12	Allah mengamati bumi, dan lihatlah, ia sudah rusak, sebab semua manusia telah merusak jalan hidupnya di bumi.
B01_C006_V013	Kejadian	6	13	Lalu, Allah berkata kepada Nuh, “Akhir dari semua manusia telah datang di hadapan-Ku sebab bumi sudah dipenuhi dengan kekerasan oleh mereka. Lihat! Aku akan memusnahkan mereka bersama dengan bumi.
B01_C006_V014	Kejadian	6	14	Buatlah bahtera dari kayu gofir untuk dirimu. Buatlah kamar-kamar di dalam bahtera itu dan lapisilah bagian dalam maupun luarnya dengan ter.
B01_C006_V015	Kejadian	6	15	Beginilah kamu harus membuatnya: panjang bahtera itu 300 hasta, lebarnya 50 hasta, dan tingginya 30 hasta.
B01_C006_V016	Kejadian	6	16	Buatlah jendela untuk bahtera itu dan selesaikanlah itu kira-kira sehasta dari atas. Pasanglah pintu bahtera di sisinya. Buatlah bahtera itu dengan geladak bawah, kedua, dan ketiga.
B01_C006_V017	Kejadian	6	17	Lihat, Aku akan mendatangkan air bah ke atas bumi untuk memusnahkan semua daging yang di dalamnya ada napas kehidupan di bawah langit sehingga semua yang ada di bumi akan mati.
B01_C006_V018	Kejadian	6	18	Akan tetapi, Aku akan menetapkan perjanjian-Ku denganmu, dan kamu akan masuk ke dalam bahtera; kamu, anak-anakmu, istrimu, dan para istri anak-anakmu.
B01_C006_V019	Kejadian	6	19	Dari segala yang hidup, kamu harus membawa sepasang dari setiap jenisnya ke bahtera untuk menjaganya tetap hidup bersamamu, jantan dan betina.
B01_C006_V020	Kejadian	6	20	Dari burung-burung menurut jenisnya, dari binatang-binatang menurut jenisnya, dan dari setiap yang merayap di tanah menurut jenisnya, sepasang dari setiap jenis itu akan datang kepadamu supaya mereka tetap hidup.
B01_C006_V021	Kejadian	6	21	Bawalah juga segala makanan yang dapat dimakan, kumpulkanlah itu bagi dirimu, dan itu akan menjadi makanan untukmu dan untuk mereka.”
B01_C006_V022	Kejadian	6	22	Demikianlah Nuh melaksanakannya, dia melaksanakan semua yang diperintahkan Allah kepadanya.
B01_C007_V001	Kejadian	7	1	Kemudian, TUHAN berfirman kepada Nuh, “Masuklah ke dalam bahtera, kamu dan seisi rumahmu, sebab aku telah melihat bahwa kamulah yang benar di hadapan-Ku dalam generasi ini.
B01_C007_V002	Kejadian	7	2	Bawalah tujuh pasang binatang yang halal, jantan dan betinanya, dan sepasang dari setiap jenis binatang yang haram jantan dan betinanya,
B01_C007_V003	Kejadian	7	3	juga tujuh pasang burung di udara, jantan dan betina, untuk menjaga keturunan mereka di seluruh muka bumi.
